/nethome/mct30/bmds/SAM_out/G006_Gut_other_bacteria.map			
Percentage	Number of Reads	Organism Name	Description
0.0989%	1514	Propionibacterium freudenreichii subsp. freudenreichii	Propionibacterium freudenreichii subsp. freudenreichii strain DSM 20271, complete genome.
0.0348%	533	Lactobacillus acidophilus NCFM	Lactobacillus acidophilus NCFM, complete genome.
0.0005%	8	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas syringae pv. tomato str. DC3000 plasmid pDC3000B, complete sequence.
0.1457%	2231	Lactobacillus plantarum WCFS1	Lactobacillus plantarum WCFS1 complete genome.
0.1374%	2103	Pseudomonas syringae pv. syringae B728a	Pseudomonas syringae pv. syringae B728a, complete genome.
0.0931%	1425	Microbacterium paludicola	Microbacterium paludicola strain CC3, complete genome.
0.0054%	82	Spiroplasma apis B31	Spiroplasma apis B31, complete genome.
0.0018%	27	Lactobacillus salivarius UCC118	Lactobacillus salivarius UCC118 plasmid pMP118, complete sequence.
0.031%	474	Cupriavidus gilardii CR3	Cupriavidus gilardii CR3 chromosome 2, complete sequence.
0.0024%	37	Spiroplasma cantharicola	Spiroplasma cantharicola strain CC-1, complete genome.
0.0019%	29	Spiroplasma taiwanense CT-1	Spiroplasma taiwanense CT-1, complete genome.
0.0037%	56	Wolbachia endosymbiont strain TRS of Brugia malayi	Wolbachia endosymbiont strain TRS of Brugia malayi, complete genome.
0.0119%	182	Serratia symbiotica	Serratia symbiotica strain STs genome assembly, chromosome: 1.
0.002%	30	Pantoea agglomerans	Pantoea agglomerans strain C410P1 plasmid unnamed3, complete sequence.
0.0088%	134	Serratia symbiotica str. 'Cinara cedri'	Serratia symbiotica str. 'Cinara cedri', complete genome.
0.3522%	5392	Microbacterium testaceum StLB037	Microbacterium testaceum StLB037 DNA, complete genome.
0.0044%	67	Spiroplasma diminutum CUAS-1	Spiroplasma diminutum CUAS-1, complete genome.
0.0076%	116	Spiroplasma chrysopicola DF-1	Spiroplasma chrysopicola DF-1, complete genome.
0.0678%	1038	Cupriavidus necator N-1	Cupriavidus necator N-1 plasmid pBB1, complete sequence.
0.001%	16	Ralstonia pickettii 12J	Ralstonia pickettii 12J plasmid pRPIC01, complete sequence.
